_id,price
20886,116333.555
117465,129850.4
125220,325315.78
77683,131207.45
77672,284666.06
60719,104333.984
15330,202346.14
31409,242807.83
63045,189352.56
81343,320962.38
2152,171840.53
9788,224408.34
131440,212781.25
127143,274200.72
60964,186333.4
11897,82531.016
28349,137147.4
129800,129042.76
81782,242491.47
3998,148873.14
64497,172045.14
76529,196838.0
51041,173425.33
55378,247129.16
52411,122978.91
122116,159294.67
131,263431.53
135109,163572.52
48013,265668.4
28327,172206.81
58077,222258.3
18876,255643.45
143327,323792.47
125842,205840.22
65781,58393.453
80430,76420.4
132205,185742.27
2416,152827.97
119702,187514.9
1772,235637.38
78641,334834.34
66304,132270.28
4247,258240.95
24308,113114.72
61599,228716.66
118050,82820.15
118277,212221.08
27390,156631.84
29103,193825.17
137207,141271.8
20877,112586.22
128650,315882.8
4179,343923.03
73892,83721.805
43961,178146.94
17915,168875.9
62000,138132.25
130592,233297.83
115347,316846.1
12651,148324.2
137671,247167.61
110726,264008.62
113287,93470.74
62979,181464.62
124783,79418.836
1456,252507.31
79544,105462.01
72577,126134.38
114247,159458.22
43508,119258.84
9338,114390.99
41767,233150.86
1714,135998.1
81526,96877.516
20024,216388.36
76305,290416.44
118710,195579.97
22270,271966.44
144919,202452.61
116429,208185.34
44360,303688.75
124920,109646.04
144566,205138.56
141662,171347.55
118888,216633.67
17739,86818.55
112825,100886.58
33302,422454.8
132955,158869.22
65666,214270.7
135088,239369.33
143170,133943.95
81953,161070.19
31689,160229.28
72768,217206.56
13599,213117.28
40876,142091.58
15794,270385.8
52118,326707.56
79149,80877.1
56808,150896.75
48801,106996.84
9502,240032.92
4846,173880.62
136647,161360.72
43618,115281.45
139136,224573.58
22401,115922.234
52705,209908.22
52220,79603.99
10912,85465.4
24403,379637.38
55494,134468.62
77273,108161.92
26023,328242.47
52481,138518.81
67193,389921.47
20033,182701.16
41597,76379.19
38096,85958.75
39602,242320.52
144617,397597.75
27642,143344.27
70817,294997.78
64049,259118.2
3184,132951.06
82178,189332.77
130494,270712.72
62905,197407.08
18536,141632.22
68781,104483.47
32035,172354.31
75749,143309.25
44580,109235.09
140094,241935.77
45231,178134.69
134569,187502.97
49807,132344.25
8185,159156.19
10900,104848.7
38388,251920.23
38330,123979.05
141479,181252.77
63614,98254.36
70981,256681.31
59302,86220.82
113312,289658.56
83121,123703.875
36,129922.164
2551,125523.53
21698,262981.84
68419,277709.53
147172,150451.33
133464,153744.1
128110,326148.97
124937,261184.05
118294,226583.98
59759,232131.3
80782,164284.53
69674,363388.3
10778,174395.38
27530,138716.2
140123,141597.66
125765,117526.81
12045,172299.66
124968,294674.28
4618,278065.72
46626,200276.23
79683,106534.305
116391,134673.4
120920,304724.0
11351,263875.75
5827,124021.3
62405,155868.28
5257,173591.6
65876,128535.84
111004,131212.58
20962,155957.45
67021,267804.78
37547,148436.47
12672,108032.625
129803,203321.5
125295,263537.5
114069,264563.38
16852,98935.22
4876,128511.03
62617,209153.16
118775,80277.586
